,Airport,City,Country,Code
395,Braunschweig-Wolfsburg Airport,Braunschweig,Germany,BWE
396,Kassel-Calden Airport,Kassel,Germany,KSF
398,Bremerhaven Airport,Bremerhaven,Germany,BRV
399,Emden Airport,Emden,Germany,EME
401,Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,Germany,WVN
402,Borkum Airport,Borkum,Germany,BMK
403,Norderney Airport,Norderney,Germany,NRD
404,Flensburg-Schäferhaus Airport,Flensburg,Germany,FLF
406,Westerland Sylt Airport,Westerland,Germany,GWT
408,Kärdla Airport,Kardla,Estonia,KDL
409,Kuressaare Airport,Kuressaare,Estonia,URE
410,Pärnu Airport,Parnu,Estonia,EPU
411,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,TLL
412,Tartu Airport,Tartu,Estonia,TAY
413,Enontekio Airport,Enontekio,Finland,ENF
415,Halli Airport,Halli,Finland,KEV
416,Helsinki Malmi Airport,Helsinki,Finland,HEM
417,Helsinki Vantaa Airport,Helsinki,Finland,HEL
420,Hyvinkää Airfield,Hyvinkaa,Finland,HYV
423,Kitee Airport,Kitee,Finland,KTQ
424,Ivalo Airport,Ivalo,Finland,IVL
425,Joensuu Airport,Joensuu,Finland,JOE
426,Jyvaskyla Airport,Jyvaskyla,Finland,JYV
427,Kauhava Airport,Kauhava,Finland,KAU
428,Kemi-Tornio Airport,Kemi,Finland,KEM
429,Kajaani Airport,Kajaani,Finland,KAJ
430,Kauhajoki Airport,Kauhajoki,Finland,KHJ
431,Kokkola-Pietarsaari Airport,Kruunupyy,Finland,KOK
433,Kuusamo Airport,Kuusamo,Finland,KAO
434,Kittilä Airport,Kittila,Finland,KTT
435,Kuopio Airport,Kuopio,Finland,KUO
436,Lahti Vesivehmaa Airport,Vesivehmaa,Finland,QLF
437,Lappeenranta Airport,Lappeenranta,Finland,LPP
438,Mariehamn Airport,Mariehamn,Finland,MHQ
440,Mikkeli Airport,Mikkeli,Finland,MIK
442,Oulu Airport,Oulu,Finland,OUL
444,Pori Airport,Pori,Finland,POR
449,Rovaniemi Airport,Rovaniemi,Finland,RVN
451,Savonlinna Airport,Savonlinna,Finland,SVL
453,Sodankyla Airport,Sodankyla,Finland,SOT
454,Tampere-Pirkkala Airport,Tampere,Finland,TMP
456,Turku Airport,Turku,Finland,TKU
457,Utti Air Base,Utti,Finland,UTI
458,Vaasa Airport,Vaasa,Finland,VAA
