iata,name,city,city_norm,country,continent,type,lat,lon
TBS,Tbilisi International Airport,Tbilisi,tbilisi,GE,AS,large_airport,41.669201,44.9547
CHT,Inia William Tuuta Memorial Airport,Te One,te one,NZ,OC,medium_airport,-43.81189,-176.46514
TEE,Cheikh Larbi Tébessi Airport,Tébessi,tebessi,DZ,AF,medium_airport,35.4315986633,8.12071990967
TFF,Tefé Airport,Tefé,tefe,BR,SA,medium_airport,-3.38294,-64.724098
TGU,Toncontín Airport,Tegucigalpa,tegucigalpa,HN,NA,medium_airport,14.0609,-87.217201
IKA,Imam Khomeini International Airport,Tehran,tehran,IR,AS,large_airport,35.416099548339844,51.152198791503906
TLV,Ben Gurion International Airport,Tel Aviv,tel aviv,IL,AS,large_airport,32.011398,34.8867
TEX,Telluride Regional Airport,Telluride,telluride,US,NA,medium_airport,37.9538,-107.907997
ZCO,La Araucanía International Airport,Temuco,temuco,CL,SA,large_airport,-38.9259,-72.6515
TFN,Tenerife Norte-Ciudad de La Laguna Airport,Tenerife,tenerife,ES,AF,large_airport,28.482752,-16.341707
TCA,Tennant Creek Airport,Tennant Creek,tennant creek,AU,OC,medium_airport,-19.6343994140625,134.18299865722656
TPQ,Amado Nervo National Airport,Tepic,tepic,MX,NA,medium_airport,21.419833,-104.842472
THE,Senador Petrônio Portela Airport,Teresina,teresina,BR,SA,medium_airport,-5.06025,-42.823712
RHD,Termas de Río Hondo international Airport,Termas de Río Hondo,termas de rio hondo,AR,SA,medium_airport,-27.4966,-64.93595
TMJ,Termez Airport,Termez,termez,UZ,AS,medium_airport,37.287261,67.311869
TTE,Sultan Babullah Airport,Ternate,ternate,ID,AS,medium_airport,0.831012,127.381611
YXT,Northwest Regional Airport Terrace-Kitimat,Terrace,terrace,CA,NA,medium_airport,54.468498,-128.576009
TET,Tete Airport,Tete,tete,MZ,AF,large_airport,-16.104799,33.640202
TEB,Teterboro Airport,Teterboro,teterboro,US,NA,medium_airport,40.850101,-74.060799
TTU,Sania Ramel Airport,Tétouan,tetouan,MA,AF,large_airport,35.594299,-5.32002
TXK,Texarkana Regional Airport (Webb Field),Texarkana,texarkana,US,NA,medium_airport,33.453701,-93.990997
SNW,Thandwe Airport,Thandwe,thandwe,MM,AS,medium_airport,18.4606990814209,94.30010223388672
XTG,Thargomindah Airport,Thargomindah,thargomindah,AU,OC,medium_airport,-27.986368,143.812065
YQD,The Pas Airport,The Pas,the pas,CA,NA,medium_airport,53.97140121459961,-101.09100341796875
AXA,Clayton J. Lloyd International Airport,The Valley,the valley,AI,NA,medium_airport,18.204773,-63.05383
SKG,Thessaloniki Macedonia International Airport,Thessaloniki,thessaloniki,GR,EU,large_airport,40.51928,22.970009
TVF,Thief River Falls Regional Airport,Thief River Falls,thief river falls,US,NA,medium_airport,48.065701,-96.184998
TRV,Thiruvananthapuram International Airport,Thiruvananthapuram,thiruvananthapuram,IN,AS,large_airport,8.481889,76.920029
YTH,Thompson Airport,Thompson,thompson,CA,NA,medium_airport,55.80110168457031,-97.86419677734375
YQT,Thunder Bay International Airport,Thunder Bay,thunder bay,CA,NA,medium_airport,48.371899,-89.323898
TSN,Tianjin Binhai International Airport,Tianjin,tianjin,CN,AS,large_airport,39.124401092499994,117.346000671
THQ,Tianshui Maijishan Airport,Tianshui (Maiji),tianshui (maiji),CN,AS,medium_airport,34.5601,105.860343
TGJ,Tiga Airport,Tiga,tiga,NC,OC,medium_airport,-21.096407,167.80379
TIJ,General Abelardo L. Rodriguez International Airport,Tijuana,tijuana,MX,NA,large_airport,32.541043,-116.969976
IKS,Tiksi Airport,Tiksi,tiksi,RU,AS,medium_airport,71.697700500488,128.90299987793
TOM,Tombouktou Airport,Timbuktu,timbuktu,ML,AF,large_airport,16.730499,-3.00758
TIM,Mozes Kilangin Airport,Timika,timika,ID,AS,medium_airport,-4.52978,136.887388
TMX,Timimoun Airport,Timimoun,timimoun,DZ,AF,medium_airport,29.237101,0.276033
TSR,Timișoara Traian Vuia International Airport,Timişoara,timisoara,RO,EU,large_airport,45.809898,21.3379
YTS,Timmins/Victor M. Power,Timmins,timmins,CA,NA,medium_airport,48.569698333699996,-81.376701355
TIN,Tindouf Airport,Tindouf,tindouf,DZ,AF,medium_airport,27.7003993988,-8.167099952700001
TIQ,Tinian International Airport,Tinian Island,tinian island,MP,OC,large_airport,15.000453,145.618974
KTP,Tinson Pen Airport,Tinson Pen,tinson pen,JM,NA,medium_airport,17.98859977722168,-76.82379913330078
TOD,Tioman Airport,Tioman Island,tioman island,MY,AS,medium_airport,2.81818,104.160004
TIA,Tirana International Airport Mother Teresa,Tirana,tirana,AL,EU,large_airport,41.4147,19.7206
